subject_id,scenario_label,action_condition,intimacy_condition,stage,response
074d5764-525e-5178-99c4-1a8a5af8b304,fair,action_1,0,prior,16
074d5764-525e-5178-99c4-1a8a5af8b304,fair,action_1,0,posterior,26
074d5764-525e-5178-99c4-1a8a5af8b304,birthday,action_3,100,prior,96
074d5764-525e-5178-99c4-1a8a5af8b304,birthday,action_3,100,posterior,100
074d5764-525e-5178-99c4-1a8a5af8b304,cooking,action_3,50,prior,99
074d5764-525e-5178-99c4-1a8a5af8b304,cooking,action_3,50,posterior,100
074d5764-525e-5178-99c4-1a8a5af8b304,dip,action_1,75,prior,93
074d5764-525e-5178-99c4-1a8a5af8b304,dip,action_1,75,posterior,96
074d5764-525e-5178-99c4-1a8a5af8b304,wedding,action_2,50,prior,23
074d5764-525e-5178-99c4-1a8a5af8b304,wedding,action_2,50,posterior,98
074d5764-525e-5178-99c4-1a8a5af8b304,soup,action_1,100,prior,50
074d5764-525e-5178-99c4-1a8a5af8b304,soup,action_1,100,posterior,66
074d5764-525e-5178-99c4-1a8a5af8b304,oysters,action_0,50,prior,59
074d5764-525e-5178-99c4-1a8a5af8b304,oysters,action_0,50,posterior,30
074d5764-525e-5178-99c4-1a8a5af8b304,driving,action_0,100,prior,66
074d5764-525e-5178-99c4-1a8a5af8b304,driving,action_0,100,posterior,0
074d5764-525e-5178-99c4-1a8a5af8b304,apples,action_2,0,prior,50
074d5764-525e-5178-99c4-1a8a5af8b304,apples,action_2,0,posterior,85
074d5764-525e-5178-99c4-1a8a5af8b304,basketball,action_0,75,prior,73
074d5764-525e-5178-99c4-1a8a5af8b304,basketball,action_0,75,posterior,0
074d5764-525e-5178-99c4-1a8a5af8b304,hike,action_2,75,prior,36
074d5764-525e-5178-99c4-1a8a5af8b304,hike,action_2,75,posterior,36
074d5764-525e-5178-99c4-1a8a5af8b304,takeout,action_1,50,prior,56
074d5764-525e-5178-99c4-1a8a5af8b304,takeout,action_1,50,posterior,89
074d5764-525e-5178-99c4-1a8a5af8b304,gala,action_2,100,prior,68
074d5764-525e-5178-99c4-1a8a5af8b304,gala,action_2,100,posterior,91
074d5764-525e-5178-99c4-1a8a5af8b304,social,action_3,0,prior,50
074d5764-525e-5178-99c4-1a8a5af8b304,social,action_3,0,posterior,100
074d5764-525e-5178-99c4-1a8a5af8b304,brunch,action_3,75,prior,50
074d5764-525e-5178-99c4-1a8a5af8b304,brunch,action_3,75,posterior,97
074d5764-525e-5178-99c4-1a8a5af8b304,drinks,action_0,0,prior,50
074d5764-525e-5178-99c4-1a8a5af8b304,drinks,action_0,0,posterior,30
8d65519a-a5e3-501e-930f-7d6d1930cb7e,hike,action_0,50,prior,84
8d65519a-a5e3-501e-930f-7d6d1930cb7e,hike,action_0,50,posterior,76
8d65519a-a5e3-501e-930f-7d6d1930cb7e,dip,action_1,50,prior,99
8d65519a-a5e3-501e-930f-7d6d1930cb7e,dip,action_1,50,posterior,91
8d65519a-a5e3-501e-930f-7d6d1930cb7e,apples,action_2,0,prior,94
8d65519a-a5e3-501e-930f-7d6d1930cb7e,apples,action_2,0,posterior,86
8d65519a-a5e3-501e-930f-7d6d1930cb7e,soup,action_0,75,prior,85
8d65519a-a5e3-501e-930f-7d6d1930cb7e,soup,action_0,75,posterior,96
8d65519a-a5e3-501e-930f-7d6d1930cb7e,driving,action_2,50,prior,99
8d65519a-a5e3-501e-930f-7d6d1930cb7e,driving,action_2,50,posterior,100
8d65519a-a5e3-501e-930f-7d6d1930cb7e,brunch,action_1,75,prior,100
8d65519a-a5e3-501e-930f-7d6d1930cb7e,brunch,action_1,75,posterior,95
8d65519a-a5e3-501e-930f-7d6d1930cb7e,social,action_3,100,prior,100
8d65519a-a5e3-501e-930f-7d6d1930cb7e,social,action_3,100,posterior,100
8d65519a-a5e3-501e-930f-7d6d1930cb7e,takeout,action_1,0,prior,100
8d65519a-a5e3-501e-930f-7d6d1930cb7e,takeout,action_1,0,posterior,100
8d65519a-a5e3-501e-930f-7d6d1930cb7e,basketball,action_3,50,prior,98
8d65519a-a5e3-501e-930f-7d6d1930cb7e,basketball,action_3,50,posterior,99
8d65519a-a5e3-501e-930f-7d6d1930cb7e,drinks,action_2,75,prior,96
8d65519a-a5e3-501e-930f-7d6d1930cb7e,drinks,action_2,75,posterior,95
8d65519a-a5e3-501e-930f-7d6d1930cb7e,fair,action_0,100,prior,95
8d65519a-a5e3-501e-930f-7d6d1930cb7e,fair,action_0,100,posterior,10
8d65519a-a5e3-501e-930f-7d6d1930cb7e,oysters,action_2,100,prior,98
8d65519a-a5e3-501e-930f-7d6d1930cb7e,oysters,action_2,100,posterior,98
8d65519a-a5e3-501e-930f-7d6d1930cb7e,birthday,action_3,0,prior,95
8d65519a-a5e3-501e-930f-7d6d1930cb7e,birthday,action_3,0,posterior,95
