subject_id,scenario_label,intimacy_condition,reward_condition,action_0,action_1,action_2,action_3
29e8397a-61e4-5062-ba20-43c1c9994cb4,hike,50,low,1,0,0,0
29e8397a-61e4-5062-ba20-43c1c9994cb4,wedding,75,low,0.74,0,0,0.26
29e8397a-61e4-5062-ba20-43c1c9994cb4,dip,100,low,1,0,0,0
29e8397a-61e4-5062-ba20-43c1c9994cb4,basketball,0,low,1,0,0,0
29e8397a-61e4-5062-ba20-43c1c9994cb4,oysters,0,high,1,0,0,0
29e8397a-61e4-5062-ba20-43c1c9994cb4,social,50,low,0.75,0.25,0,0
29e8397a-61e4-5062-ba20-43c1c9994cb4,soup,100,low,0,0,0,1
29e8397a-61e4-5062-ba20-43c1c9994cb4,gala,50,high,0,1,0,0
29e8397a-61e4-5062-ba20-43c1c9994cb4,apples,75,high,0,0,0,1
29e8397a-61e4-5062-ba20-43c1c9994cb4,takeout,75,low,0.19,0,0.81,0
29e8397a-61e4-5062-ba20-43c1c9994cb4,driving,100,high,0,0,0,1
29e8397a-61e4-5062-ba20-43c1c9994cb4,birthday,0,low,1,0,0,0
29e8397a-61e4-5062-ba20-43c1c9994cb4,cooking,0,high,0,1,0,0
29e8397a-61e4-5062-ba20-43c1c9994cb4,drinks,75,high,0,0,0,1
29e8397a-61e4-5062-ba20-43c1c9994cb4,brunch,50,high,0,1,0,0
29e8397a-61e4-5062-ba20-43c1c9994cb4,fair,100,high,0,0,0,1
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,drinks,0,high,1,0,0,0
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,hike,100,high,0.58,0.26,0.09,0.07
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,takeout,50,low,0.76,0.24,0,0
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,gala,50,high,0.25,0.38,0.19,0.18
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,dip,75,high,0,0.57,0.27,0.16
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,birthday,75,low,0,0.77,0.23,0
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,driving,100,high,0.16,0.35,0.29,0.2
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,wedding,0,low,0.6,0.1,0.3,0
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,apples,75,high,0,0.56,0.33,0.11
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,oysters,100,low,0.28,0.37,0.1,0.25
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,brunch,100,low,0.28,0.19,0.23,0.3
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,fair,50,low,0.3,0.61,0.09,0
1e2ee641-3b58-5eff-ad2e-96b35f97ca0f,basketball,0,low,0.44,0.56,0,0
