model,experiment,nll,n_params,aic,bic,r,r_ci_lower,r_ci_upper,param_alpha,param_w_v,param_w_d,param_w_e,param_gamma
full,food_forw_intimacy_desire,2170.557373046875,4,4349.11474609375,4376.730006940642,0.9830407187572809,0.9674844983281881,0.9923658040829911,1.0,0.8462485671043396,1.3420367240905762,0.0315287783741951,0.8607591390609741
discomfort_only,food_forw_intimacy_desire,2310.142333984375,2,4624.28466796875,4638.0922983921955,0.7286810386713549,0.5744617528900194,0.8577308160520071,1.0,,1.2984906435012817,,0.7116774320602417
base,food_forw_intimacy_desire,2351.970703125,2,4707.94140625,4721.7490366734455,0.7516570698106325,0.5347378506478846,0.8782772582846853,1.0,0.8300175070762634,,0.4737143814563751,
