variant,r,ci_lower,ci_upper
full,0.9829523584316071,0.9659042698487132,0.991739716512384
discomfort_only,0.7291259963785626,0.5696551930782688,0.8537029809096859
base,0.7513134186196133,0.5114075618984544,0.8765477496572807
