experiment,variant,fold,held_out_scenario,alpha_observer,train_sse,test_sse,train_mse,test_mse,n_train,n_test
food_inv_desire_intimacy_alt,full,0,apples,1.8353052139282227,198.062744140625,9.996485477598743,0.11003485785590278,0.0833040456466562,1800,120
food_inv_desire_intimacy_alt,full,1,basketball,1.8370107412338257,200.02415466308594,8.046468203845606,0.11112453036838107,0.06705390169871338,1800,120
food_inv_desire_intimacy_alt,full,2,birthday,1.839015245437622,198.9813232421875,9.102850911165818,0.11054517957899306,0.07585709092638182,1800,120
food_inv_desire_intimacy_alt,full,3,brunch,1.837560772895813,197.82513427734375,10.24918564687599,0.10990285237630208,0.08540988039063326,1800,120
food_inv_desire_intimacy_alt,full,4,cooking,1.8391207456588745,197.3173370361328,10.767551748089847,0.10962074279785156,0.08972959790074872,1800,120
food_inv_desire_intimacy_alt,full,5,dip,1.817764163017273,195.9393310546875,12.011310040082211,0.10885518391927083,0.10009425033401843,1800,120
food_inv_desire_intimacy_alt,full,6,drinks,1.8342084884643555,197.3360137939453,10.715980285161077,0.10963111877441406,0.08929983570967565,1800,120
food_inv_desire_intimacy_alt,full,7,driving,1.8959970474243164,195.06301879882812,13.487466477676078,0.10836834377712673,0.11239555398063399,1800,120
food_inv_desire_intimacy_alt,full,8,fair,1.8316123485565186,193.12071228027344,14.914376146563802,0.10728928460015191,0.12428646788803169,1800,120
food_inv_desire_intimacy_alt,full,9,gala,1.7615517377853394,192.6766815185547,15.033153172646808,0.10704260084364149,0.12527627643872338,1800,120
food_inv_desire_intimacy_alt,full,10,hike,1.8294668197631836,193.15682983398438,14.86454006434536,0.1073093499077691,0.123871167202878,1800,120
food_inv_desire_intimacy_alt,full,11,oysters,1.8965662717819214,186.40757751464844,22.14835369002696,0.1035597652859158,0.184569614083558,1800,120
food_inv_desire_intimacy_alt,full,12,social,1.7586156129837036,193.45933532714844,14.242548517779316,0.10747740851508246,0.11868790431482763,1800,120
food_inv_desire_intimacy_alt,full,13,soup,1.8355225324630737,191.9054412841797,16.155235533337247,0.10661413404676649,0.1346269627778104,1800,120
