model,experiment,alpha_observer,sse,mse,n_params
full,food_inv_desire_intimacy_alt,1.8321800231933594,208.03875732421875,0.10835351943969726,1
discomfort_only,food_inv_desire_intimacy_alt,0.009999999776482582,362.25579833984375,0.18867489496866863,1
base,food_inv_desire_intimacy_alt,1.8360352516174316,214.06312561035156,0.11149121125539144,1
